naslov,leto,ocena_rotten_tomatoes,ocena_imdb
The Chronicles of Narnia: Prince Caspian,2008,66,6.5
Indiana Jones and the Kingdom of the Crystal Skull,2008,78,6.1
Sex and the City,2008,49,5.7
Kung Fu Panda,2008,87,7.6
The Incredible Hulk,2008,67,6.6
Get Smart,2008,51,6.5
WALL&#183;E,2008,95,8.4
Hancock,2008,41,6.4
Hellboy II: The Golden Army,2008,86,7.0
The Dark Knight,2008,94,9.0
Tropic Thunder,2008,82,7.0
Bangkok Dangerous,2008,9,5.3
Burn After Reading,2008,78,7.0
Lakeview Terrace,2008,44,6.1
Eagle Eye,2008,26,6.6
Beverly Hills Chihuahua,2008,40,3.8
Max Payne,2008,15,5.3
High School Musical 3: Senior Year,2008,63,4.9
Madagascar: Escape 2 Africa,2008,64,6.6
Quantum of Solace,2008,64,6.6
Twilight,2008,49,5.2
Four Christmases,2008,25,5.7
The Day the Earth Stood Still,2008,20,5.5
Yes Man,2008,46,6.8
Marley &amp; Me,2008,63,7.1
Gran Torino,2008,81,8.1
Paul Blart: Mall Cop,2009,34,5.2
Taken,2008,59,7.8
He&#39;s Just Not That Into You,2009,41,6.4
Friday the 13th,2009,26,5.5
Madea Goes to Jail,2009,29,4.5
Watchmen,2009,65,7.6
Race to Witch Mountain,2009,42,5.7
Knowing,2009,34,6.2
Monsters vs. Aliens,2009,74,6.4
Fast &amp; Furious,2009,28,6.6
Hannah Montana: The Movie,2009,43,4.6
17 Again,2009,56,6.4
Obsessed,2009,19,5.0
X-Men Origins: Wolverine,2009,38,6.6
Star Trek,2009,94,7.9
Angels &amp; Demons,2009,37,6.7
Night at the Museum: Battle of the Smithsonian,2009,44,6.0
Up,2009,98,8.2
The Hangover,2009,79,7.7
The Proposal,2009,45,6.7
Transformers: Revenge of the Fallen,2009,20,6.0
Br&#252;no,2009,67,5.8
Harry Potter and the Half-Blood Prince,2009,84,7.6
G-Force,2009,22,5.1
Funny People,2009,69,6.3
G.I. Joe: The Rise of Cobra,2009,33,5.8
District 9,2009,90,7.9
Inglourious Basterds,2009,89,8.3
The Final Destination,2009,28,5.2
I Can Do Bad All by Myself,2009,61,4.6
Cloudy With a Chance of Meatballs,2009,86,6.9
Zombieland,2009,89,7.6
Couples Retreat,2009,10,5.5
Where the Wild Things Are,2009,73,6.7
Paranormal Activity,2007,83,6.3
This Is It,2009,81,7.2
A Christmas Carol,2009,53,6.8
2012,2009,39,5.8
The Twilight Saga: New Moon,2009,29,4.8
The Blind Side,2009,66,7.6
The Princess and the Frog,2009,85,7.1
Avatar,2009,82,7.8
Dear John,2010,28,6.3
Valentine&#39;s Day,2010,18,5.7
Shutter Island,2010,68,8.2
Alice in Wonderland,2010,51,6.4
How to Train Your Dragon,2010,99,8.1
Clash of the Titans,2010,27,5.8
Kick-Ass,2010,76,7.6
A Nightmare on Elm Street,2010,15,5.2
Iron Man 2,2010,72,6.9
Shrek Forever After,2010,58,6.3
The Karate Kid,2010,66,6.2
Toy Story 3,2010,98,8.2
The Twilight Saga: Eclipse,2010,48,5.0
Despicable Me,2010,81,7.6
Inception,2010,87,8.8
The Other Guys,2010,78,6.7
The Expendables,2010,42,6.5
Takers,2010,28,6.2
The American,2010,66,6.3
Resident Evil: Afterlife,2010,21,5.8
The Town,2010,92,7.5
Wall Street: Money Never Sleeps,2010,55,6.2
The Social Network,2010,96,7.7
Jackass 3D,2010,66,7.0
Paranormal Activity 2,2010,58,5.7
Saw: The Final Chapter,2010,10,5.6
Megamind,2010,73,7.3
Harry Potter and the Deathly Hallows: Part 1,2010,77,7.7
Tangled,2010,89,7.7
The Chronicles of Narnia: The Voyage of the Dawn Treader,2010,50,6.3
TRON: Legacy,2010,51,6.8
Little Fockers,2010,9,5.5
True Grit,2010,95,7.6
The Green Hornet,2011,44,5.8
No Strings Attached,2011,48,6.2
The Rite,2011,21,6.0
The Roommate,2011,3,4.8
Just Go With It,2011,19,6.4
Unknown,2011,55,6.8
Hall Pass,2011,33,5.8
Rango,2011,88,7.2
Battle: Los Angeles,2011,37,5.7
Limitless,2011,69,7.4
Diary of a Wimpy Kid: Rodrick Rules,2022,47,6.6
Hop,2011,24,5.4
Rio,2011,72,6.9
Fast Five,2011,77,7.3
Thor,2011,77,7.0
Pirates of the Caribbean: On Stranger Tides,2011,33,6.6
The Hangover Part II,2011,34,6.5
X-Men: First Class,2011,86,7.7
Super 8,2011,81,7.0
Green Lantern,2011,26,5.5
Cars 2,2011,39,6.1
Transformers: Dark of the Moon,2011,35,6.2
Harry Potter and the Deathly Hallows: Part 2,2011,96,8.1
Captain America: The First Avenger,2011,79,6.9
Cowboys &amp; Aliens,2011,44,6.0
Rise of the Planet of the Apes,2011,82,7.5
The Help,2011,76,8.0
Contagion,2011,85,6.8
The Lion King 3D,,,
Dolphin Tale,2011,82,6.8
Real Steel,2011,60,7.0
Paranormal Activity 3,2011,66,5.8
Puss in Boots,2011,86,6.6
Immortals,2011,48,6.0
The Twilight Saga: Breaking Dawn - Part 1,2011,25,4.9
New Year&#39;s Eve,2011,7,5.7
Sherlock Holmes: A Game of Shadows,2011,59,7.5
Mission: Impossible - Ghost Protocol,2011,93,7.4
The Devil Inside,2012,5,4.2
Contraband,2012,51,6.4
Underworld: Awakening,2012,26,6.3
The Grey,2012,79,6.8
Chronicle,2012,85,7.0
The Vow,2012,31,6.8
Safe House,2012,53,6.7
Act of Valor,2012,28,6.5
The Lorax,2012,54,6.4
21 Jump Street,2012,85,7.2
The Hunger Games,2012,84,7.2
Think Like a Man,2012,54,6.5
The Avengers,2012,91,8.0
Men in Black 3,2012,68,6.8
Snow White and the Huntsman,2012,49,6.1
Madagascar 3: Europe&#39;s Most Wanted,2012,78,6.8
Brave,2012,78,7.1
Ted,2012,69,6.9
The Amazing Spider-Man,2012,72,6.9
Ice Age: Continental Drift,2012,37,6.5
The Dark Knight Rises,2012,87,8.4
The Bourne Legacy,2012,55,6.6
The Expendables 2,2012,67,6.6
The Possession,2012,,
Resident Evil: Retribution,2012,28,5.4
End of Watch,2012,85,7.6
Hotel Transylvania,2012,45,7.1
Taken 2,2012,22,6.3
Paranormal Activity 4,2012,23,4.6
Argo,2012,96,7.7
Wreck-It Ralph,2012,87,7.7
Skyfall,2012,92,7.8
The Hobbit: An Unexpected Journey,2012,64,7.8
Texas Chainsaw 3D,2013,19,4.8
Zero Dark Thirty,2012,91,7.4
Mama,2013,63,6.2
Hansel &amp; Gretel: Witch Hunters,2013,17,6.1
Warm Bodies,2013,81,6.8
Identity Thief,2013,19,5.7
A Good Day to Die Hard,2013,15,5.3
Jack the Giant Slayer,2013,52,6.2
Oz: The Great and Powerful,2013,57,6.3
The Croods,2013,72,7.2
G.I. Joe: Retaliation,2013,29,5.8
Evil Dead,2013,63,6.5
42,2013,81,7.5
Oblivion,2013,53,7.0
Pain &amp; Gain,2013,50,6.4
Iron Man 3,2013,79,7.1
Star Trek Into Darkness,2013,84,7.7
Fast &amp; Furious 6,2013,71,7.0
The Purge,2013,39,5.8
Man of Steel,2013,56,7.0
Monsters University,2013,80,7.2
Despicable Me 2,2013,75,7.3
The Conjuring,2013,86,7.5
The Wolverine,2013,71,6.7
2 Guns,2013,65,6.7
Elysium,2013,65,6.6
The Butler,2013,72,7.2
One Direction: This Is Us,2013,63,4.4
Riddick,2013,57,6.4
Insidious: Chapter 2,2013,39,6.6
Prisoners,2013,81,8.1
Cloudy With a Chance of Meatballs 2,2013,71,6.4
Gravity,2013,96,7.7
Bad Grandpa,2013,61,6.5
Ender&#39;s Game,2013,62,6.6
Thor: The Dark World,2013,66,6.8
The Hunger Games: Catching Fire,2013,90,7.5
Frozen,2013,90,7.4
The Hobbit: The Desolation of Smaug,2013,74,7.8
Lone Survivor,2013,75,7.5
Ride Along,2014,18,6.2
The Lego Movie,2014,96,7.7
Non-Stop,2014,62,6.9
300: Rise of an Empire,2014,45,6.2
Mr. Peabody &amp; Sherman,2014,81,6.8
Divergent,2014,41,6.6
Noah,2014,76,5.7
Captain America: The Winter Soldier,2014,90,7.7
The Other Woman,2014,26,6.0
The Amazing Spider-Man 2,2014,51,6.6
Neighbors,2014,73,6.3
Godzilla,2014,76,6.4
X-Men: Days of Future Past,2014,90,7.9
Maleficent,2014,54,7.0
The Fault in Our Stars,2014,81,7.7
22 Jump Street,2014,84,7.0
Think Like a Man Too,2014,23,5.8
Transformers: Age of Extinction,2014,17,5.6
Dawn of the Planet of the Apes,2014,90,7.6
Lucy,2014,67,6.4
Guardians of the Galaxy,2014,92,8.0
No Good Deed,2014,12,5.6
The Maze Runner,2014,65,6.8
The Equalizer,2014,60,7.2
Gone Girl,2014,87,8.1
Fury,2014,76,7.6
Ouija,2014,6,4.5
Big Hero 6,2014,90,7.8
Dumb and Dumber to,2014,30,5.6
The Hunger Games: Mockingjay - Part 1,2014,69,6.6
Exodus: Gods and Kings,2014,30,6.0
The Hobbit: The Battle of the Five Armies,2014,59,7.4
Taken 3,2015,13,6.0
American Sniper,2014,72,7.3
The SpongeBob Movie: Sponge Out of Water,2015,81,6.0
Fifty Shades of Grey,2015,25,4.1
Focus,2015,56,6.6
Chappie,2015,32,6.8
Cinderella,2015,84,6.9
Insurgent,2015,28,6.2
Home,2015,52,6.6
Furious 7,2015,82,7.1
Avengers: Age of Ultron,2015,76,7.3
Pitch Perfect 2,2015,65,6.4
Tomorrowland,2015,50,6.4
San Andreas,2015,48,6.1
Spy,2015,95,7.0
Jurassic World,2015,71,7.0
Inside Out,2015,98,8.1
Minions,2015,55,6.4
Ant-Man,2015,83,7.3
Mission: Impossible - Rogue Nation,2015,94,7.4
Straight Outta Compton,2015,89,7.8
War Room,2015,34,6.5
The Perfect Guy,2015,18,5.6
Maze Runner: The Scorch Trials,2015,48,6.3
Hotel Transylvania 2,2015,55,6.7
The Martian,2015,91,8.0
Goosebumps,2015,78,6.3
Spectre,2015,63,6.8
The Hunger Games: Mockingjay - Part 2,2015,69,6.6
Star Wars: The Force Awakens,2015,93,7.8
Ride Along 2,2016,14,5.9
The Revenant,2015,78,8.0
Kung Fu Panda 3,2016,87,7.1
Deadpool,2016,85,8.0
Zootopia,2016,98,8.0
Batman V Superman: Dawn of Justice,2016,29,6.4
The Boss,2016,22,5.4
The Jungle Book,2016,94,7.4
Captain America: Civil War,2016,90,7.8
The Angry Birds Movie,2016,43,6.3
X-Men: Apocalypse,2016,47,6.9
Teenage Mutant Ninja Turtles: Out of the Shadows,2016,38,6.0
The Conjuring 2,2016,80,7.3
Finding Dory,2016,94,7.3
The Secret Life of Pets,2016,72,6.5
Star Trek Beyond,2016,86,7.0
Jason Bourne,2016,54,6.6
Suicide Squad,2016,26,5.9
Don&#39;t Breathe,2016,88,7.1
Sully,2016,85,7.4
The Magnificent Seven,2016,64,6.9
Miss Peregrine&#39;s Home for Peculiar Children,2016,64,6.7
The Girl on the Train,2016,44,6.5
The Accountant,2016,52,7.3
Boo! a Madea Halloween,2016,19,4.6
Doctor Strange,2016,89,7.5
Fantastic Beasts and Where to Find Them,2016,74,7.3
Moana,2016,95,7.6
Rogue One: A Star Wars Story,2016,84,7.8
Hidden Figures,2016,93,7.9
Split,2017,77,7.3
The Lego Batman Movie,2017,90,7.3
Get Out,2017,98,7.7
Logan,2017,94,8.1
Kong: Skull Island,2017,75,6.6
Beauty and the Beast,2017,71,7.1
The Boss Baby,2017,53,6.3
The Fate of the Furious,2017,67,6.6
Guardians of the Galaxy Vol. 2,2017,85,7.6
Alien: Covenant,2017,65,6.4
Pirates of the Caribbean: Dead Men Tell No Tales,2017,30,6.5
Wonder Woman,2017,93,7.4
Cars 3,2017,69,6.7
Transformers: The Last Knight,2017,15,5.2
Despicable Me 3,2017,59,6.3
Spider-Man: Homecoming,2017,92,7.4
War for the Planet of the Apes,2017,94,7.4
Dunkirk,2017,92,7.8
The Dark Tower,2017,16,5.6
Annabelle: Creation,2017,71,6.5
The Hitman&#39;s Bodyguard,2017,44,6.9
It,2017,85,7.3
Kingsman: The Golden Circle,2017,51,6.7
Blade Runner 2049,2017,88,8.0
Happy Death Day,2017,71,6.6
Boo 2! a Madea Halloween,2017,4,3.9
Jigsaw,2017,32,5.8
Thor: Ragnarok,2017,93,7.9
Justice League,2017,40,6.1
Coco,2017,97,8.4
Star Wars: The Last Jedi,2017,91,6.9
Jumanji: Welcome to the Jungle,2017,76,6.9
Maze Runner: The Death Cure,2018,43,6.3
Fifty Shades Freed,2018,11,4.5
Black Panther,2018,96,7.3
Pacific Rim: Uprising,2018,42,5.6
Ready Player One,2018,72,7.4
A Quiet Place,2018,96,7.5
Rampage,2018,51,6.1
Avengers: Infinity War,2018,85,8.4
Deadpool 2,2018,84,7.7
Solo: A Star Wars Story,2018,70,6.9
Ocean&#39;s Eight,2018,69,6.3
Incredibles 2,2018,93,7.6
Jurassic World: Fallen Kingdom,2018,47,6.2
Ant-Man and the Wasp,2018,87,7.0
Hotel Transylvania 3: Summer Vacation,2018,62,6.3
The Equalizer 2,2018,52,6.7
Mission: Impossible - Fallout,2018,97,7.7
The Meg,2018,46,5.6
Crazy Rich Asians,2018,90,6.9
The Nun,2018,24,5.3
The Predator,2018,33,5.3
The House With a Clock in Its Walls,2018,65,6.1
Night School,2018,26,5.6
Venom,2018,30,6.7
Halloween,2018,79,6.6
Bohemian Rhapsody,2018,60,7.9
The Grinch,2018,59,6.4
Fantastic Beasts: The Crimes of Grindelwald,2018,36,6.5
Ralph Breaks the Internet,2018,88,7.0
Spider-Man: Into the Spider-Verse,2018,97,8.4
Aquaman,2018,65,6.9
The Upside,2017,43,7.0
Glass,2019,36,6.6
The Lego Movie 2: The Second Part,2019,84,6.6
Alita: Battle Angel,2019,61,7.3
How to Train Your Dragon: The Hidden World,2019,90,7.5
Captain Marvel,2019,79,6.8
Us,2019,93,6.8
Dumbo,2019,46,6.3
Shazam!,2019,90,7.0
The Curse of La Llorona,2019,28,5.3
Avengers: Endgame,2019,94,8.4
John Wick: Chapter 3 - Parabellum,2019,89,7.4
Aladdin,2019,57,6.9
Godzilla: King of the Monsters,2019,42,6.0
The Secret Life of Pets 2,2019,60,6.5
Men in Black: International,2019,23,5.6
Toy Story 4,2019,97,7.7
Spider-Man: Far From Home,2019,90,7.4
The Lion King,2019,52,6.8
Fast &amp; Furious Presents: Hobbs &amp; Shaw,2019,67,6.5
Good Boys,2019,36,6.7
Angel Has Fallen,2019,39,6.4
It Chapter Two,2019,62,6.5
Downton Abbey,2019,84,7.4
Abominable,2019,82,7.0
Joker,2019,68,8.4
Maleficent: Mistress of Evil,2019,39,6.6
Terminator: Dark Fate,2019,70,6.2
Midway,2019,42,6.7
Ford V Ferrari,2019,92,8.1
Frozen II,2019,78,6.8
Jumanji: The Next Level,2019,71,6.7
Star Wars: The Rise of Skywalker,2019,52,6.5
1917,2019,89,8.3
Bad Boys for Life,2020,76,6.5
Birds of Prey (And the Fantabulous Emancipation of One Harley Quinn),2020,79,6.1
Sonic the Hedgehog,2020,64,6.5
The Invisible Man,2020,92,7.1
Onward,2020,88,7.4
