naslov,leto,ocena_rotten_tomatoes,ocena_imdb
Hard to Kill,1990,36,5.8
The Hunt for Red October,1990,88,7.6
Pretty Woman,1990,66,7.1
Teenage Mutant Ninja Turtles,1990,41,6.8
Bird on a Wire,1990,27,6.0
Back to the Future Part III,1990,80,7.4
Total Recall,1990,82,7.5
Another 48 Hrs.,1990,21,5.9
Dick Tracy,1990,62,6.1
Days of Thunder,1990,38,6.1
Die Hard 2,1990,69,7.1
Ghost,1990,75,7.1
Presumed Innocent,1990,87,6.9
Flatliners,1990,48,6.6
The Exorcist III,1990,59,6.5
Darkman,1990,83,6.4
Postcards From the Edge,1990,84,6.7
Goodfellas,1990,96,8.7
Pacific Heights,1990,50,6.4
Marked for Death,1990,27,6.0
Graveyard Shift,1990,0,5.0
Jacob&#39;s Ladder,1990,73,7.5
Child&#39;s Play 2,1990,40,5.9
Home Alone,1990,67,7.6
Sleeping With the Enemy,1991,20,6.3
The Silence of the Lambs,1991,96,8.6
Teenage Mutant Ninja Turtles II: The Secret of the Ooze,1991,35,6.0
Out for Justice,1991,23,6.1
Oscar,1991,12,6.5
F/X2,1991,40,5.9
What About Bob?,1991,84,7.0
Backdraft,1991,75,6.7
City Slickers,1991,91,6.8
Robin Hood: Prince of Thieves,1991,51,6.9
The Naked Gun 2&#189;: The Smell of Fear,1991,57,6.9
Terminator 2: Judgment Day,1991,93,8.5
Hot Shots!,1991,84,6.8
Dead Again,1991,83,6.9
Freddy&#39;s Dead: The Final Nightmare,1991,22,4.9
The Fisher King,1991,84,7.5
Other People&#39;s Money,1991,31,6.2
House Party 2,1991,27,5.2
The People Under the Stairs,1991,67,6.4
Curly Sue,1991,13,5.8
Cape Fear,1991,74,7.3
The Addams Family,1991,65,6.9
Star Trek VI: The Undiscovered Country,1991,82,7.2
Hook,1991,29,6.8
The Hand That Rocks the Cradle,1992,63,6.7
Medicine Man,1992,18,6.1
Wayne&#39;s World,1992,78,7.0
Basic Instinct,1992,55,7.0
White Men Can&#39;t Jump,1992,77,6.8
Sleepwalkers,1992,33,5.3
Lethal Weapon 3,1992,60,6.7
Patriot Games,1992,74,6.9
Batman Returns,1992,80,7.0
A League of Their Own,1992,80,7.3
"Honey, I Blew Up the Kid",1992,40,4.9
Mo&#39; Money,1992,16,5.5
Death Becomes Her,1992,43,6.6
Unforgiven,1992,96,8.2
Honeymoon in Vegas,1992,64,5.8
Sneakers,1992,79,7.1
The Last of the Mohicans,1992,93,7.7
Under Siege,1992,79,6.5
Passenger 57,1992,24,5.9
Dracula,1992,75,7.4
Home Alone 2: Lost in New York,1992,35,6.8
A Few Good Men,1992,83,7.7
Aladdin,1992,95,8.0
National Lampoon&#39;s Loaded Weapon 1,1993,18,6.2
Groundhog Day,1993,97,8.0
Falling Down,1993,75,7.6
CB4,1993,52,6.3
Teenage Mutant Ninja Turtles III,1993,19,4.8
Cop and &#189;,1993,13,4.1
Indecent Proposal,1993,34,6.0
Dragon: The Bruce Lee Story,1993,74,7.0
Dave,1993,95,6.8
Sliver,1993,11,5.1
Cliffhanger,1993,67,6.5
Jurassic Park,1993,92,8.1
The Firm,1993,75,6.8
Poetic Justice,1993,34,6.1
Rising Sun,1993,33,6.3
The Fugitive,1993,96,7.8
Striking Distance,1993,17,5.9
The Good Son,1993,26,6.4
Malice,1993,57,6.4
Demolition Man,1993,62,6.7
The Beverly Hillbillies,1993,24,5.0
The Nightmare Before Christmas,1993,95,8.0
The Three Musketeers,1993,28,6.4
Addams Family Values,1993,77,6.8
Mrs. Doubtfire,1993,72,7.0
Wayne&#39;s World 2,1993,60,6.2
The Pelican Brief,1993,53,6.6
Philadelphia,1993,80,7.7
Ace Ventura: Pet Detective,1994,49,6.9
On Deadly Ground,1994,12,4.6
Guarding Tess,1994,56,6.2
The Naked Gun 33â…“: The Final Insult,1994,54,6.5
D2: The Mighty Ducks,1994,21,6.1
Major League II,1994,5,5.6
